S.No,Topic,Sub-Topic,Problem Name,Difficulty,Source,LeetCode/GFG Link,Notes
162,Linked List,Medium,Segregate Odd/Even Nodes,Medium,Striver,https://leetcode.com/problems/odd-even-linked-list/,
163,Linked List,Medium,Remove Nth Node from End,Medium,Striver,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,
164,Linked List,Medium,Delete Middle of LL,Medium,Striver,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/,
165,Linked List,Medium,Sort LL of 0s 1s and 2s,Medium,Striver,https://www.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1,
166,Linked List,Medium,Add 1 to LL,Medium,Striver,https://www.geeksforgeeks.org/problems/add-1-to-a-number-represented-as-linked-list/1,
167,Linked List,Medium,Add Two Numbers as LL,Medium,Striver,https://leetcode.com/problems/add-two-numbers/,
168,Linked List,Medium,Intersection Point of Two LLs,Easy,Striver,https://leetcode.com/problems/intersection-of-two-linked-lists/,
169,Linked List,Medium,Starting Point of Loop in LL,Medium,Striver,https://leetcode.com/problems/linked-list-cycle-ii/,
170,Linked List,Medium,Flattening a LL,Hard,Striver,https://www.geeksforgeeks.org/problems/flattening-a-linked-list/1,
171,Linked List,Medium,Rotate a LL,Medium,Striver,https://leetcode.com/problems/rotate-list/,
172,Linked List,Medium,Clone LL with Random Pointer,Medium,Striver,https://leetcode.com/problems/copy-list-with-random-pointer/,
173,Linked List,Hard,Reverse LL in Groups of K,Hard,Striver,https://leetcode.com/problems/reverse-nodes-in-k-group/,
174,Linked List,Hard,Reverse LL in Alternating Groups,Hard,Striver,https://www.geeksforgeeks.org/problems/reverse-alternate-k-nodes-in-a-singly-linked-list/1,
175,Linked List,Hard,Merge Two Sorted LLs,Easy,Striver,https://leetcode.com/problems/merge-two-sorted-lists/,
176,Linked List,Hard,Sort LL,Medium,Striver,https://leetcode.com/problems/sort-list/,Merge sort on LL
177,Linked List,Hard,Delete All Occurrences of Key in DLL,Medium,Striver,https://www.geeksforgeeks.org/problems/delete-all-occurrences-of-a-given-key-in-a-doubly-linked-list/1,
178,Linked List,Hard,Find Pairs with Given Sum in DLL,Medium,Striver,https://www.geeksforgeeks.org/problems/find-pairs-with-given-sum-in-doubly-linked-list/1,
179,Linked List,Hard,Remove Duplicates from Sorted DLL,Easy,Striver,https://www.geeksforgeeks.org/problems/remove-duplicates-from-a-sorted-doubly-linked-list/1,
180,Linked List,Hard,Merge K Sorted Lists,Hard,Striver,https://leetcode.com/problems/merge-k-sorted-lists/,
181,Linked List,Hard,Flatten Binary Tree to Linked List,Medium,Striver,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,
182,Recursion,Basics,All Subsequences of String,Medium,Striver,https://www.geeksforgeeks.org/problems/print-all-subsequences/0,
183,Recursion,Basics,Print All Subsets,Medium,Striver,https://leetcode.com/problems/subsets/,
184,Recursion,Basics,Get All Subsequences with Sum K,Medium,Striver,https://www.geeksforgeeks.org/problems/print-all-subsequences-with-given-sum/0,
185,Recursion,Basics,Count All Subsequences with Sum K,Medium,Striver,https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1,
186,Recursion,Basics,Check if Any Subsequence has Sum K,Medium,Striver,https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,
187,Recursion,Basics,Combination Sum I,Medium,Striver,https://leetcode.com/problems/combination-sum/,
188,Recursion,Basics,Combination Sum II,Medium,Striver,https://leetcode.com/problems/combination-sum-ii/,
189,Recursion,Basics,Combination Sum III,Medium,Striver,https://leetcode.com/problems/combination-sum-iii/,
190,Recursion,Basics,Subset Sum I,Medium,Striver,https://www.geeksforgeeks.org/problems/subset-sums2234/1,
191,Recursion,Basics,Subset Sum II (Unique Subsets),Medium,Striver,https://leetcode.com/problems/subsets-ii/,
192,Recursion,Backtracking,Permutation Sequence,Hard,Striver,https://leetcode.com/problems/permutation-sequence/,
193,Recursion,Backtracking,Permutations I,Medium,Striver,https://leetcode.com/problems/permutations/,
194,Recursion,Backtracking,Permutations II (Duplicates),Medium,Striver,https://leetcode.com/problems/permutations-ii/,
195,Recursion,Backtracking,N Queens,Hard,Striver,https://leetcode.com/problems/n-queens/,Classic backtracking
196,Recursion,Backtracking,N Queens II,Hard,Striver,https://leetcode.com/problems/n-queens-ii/,
197,Recursion,Backtracking,Sudoku Solver,Hard,Striver,https://leetcode.com/problems/sudoku-solver/,
198,Recursion,Backtracking,M Coloring Problem,Hard,Striver,https://www.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1,
199,Recursion,Backtracking,Rat in a Maze,Medium,Striver,https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,
200,Recursion,Backtracking,Word Break,Medium,Striver,https://leetcode.com/problems/word-break/,
201,Recursion,Backtracking,Expression Add Operators,Hard,Striver,https://leetcode.com/problems/expression-add-operators/,
202,Recursion,Added,Letter Combinations of Phone Number,Medium,Added-Backtracking,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Gap - NeetCode
203,Recursion,Added,Palindrome Partitioning,Medium,Added-Backtracking,https://leetcode.com/problems/palindrome-partitioning/,Gap - NeetCode
204,Recursion,Added,Word Search,Medium,Added-Backtracking,https://leetcode.com/problems/word-search/,Gap - NeetCode
205,Recursion,Added,Word Search II,Hard,Added-Backtracking,https://leetcode.com/problems/word-search-ii/,Gap - NeetCode
206,Bit Manipulation,Concepts,Count Set Bits,Easy,Striver,https://leetcode.com/problems/number-of-1-bits/,
207,Bit Manipulation,Concepts,Check Bit at Position,Easy,Striver,https://www.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1,
208,Bit Manipulation,Concepts,Set Bit at Position,Easy,Striver,https://www.geeksforgeeks.org/problems/set-kth-bit/1,
209,Bit Manipulation,Concepts,Clear Bit at Position,Easy,Striver,https://www.geeksforgeeks.org/problems/clear-k-th-bit/1,
210,Bit Manipulation,Concepts,Toggle Bit,Easy,Striver,https://www.geeksforgeeks.org/problems/toggle-bits-given-range0952/1,
211,Bit Manipulation,Concepts,Remove Last Set Bit,Easy,Striver,https://www.geeksforgeeks.org/problems/remove-last-set-bit/1,
212,Bit Manipulation,Concepts,Check Power of 2,Easy,Striver,https://leetcode.com/problems/power-of-two/,
213,Bit Manipulation,Problems,Single Number,Easy,Striver,https://leetcode.com/problems/single-number/,
214,Bit Manipulation,Problems,Single Number II,Medium,Striver,https://leetcode.com/problems/single-number-ii/,
215,Bit Manipulation,Problems,Single Number III,Medium,Striver,https://leetcode.com/problems/single-number-iii/,
216,Bit Manipulation,Problems,XOR of Numbers in Range L to R,Medium,Striver,https://www.geeksforgeeks.org/problems/find-xor-of-numbers-from-l-to-r/1,
217,Bit Manipulation,Problems,Divide Two Integers,Medium,Striver,https://leetcode.com/problems/divide-two-integers/,
218,Bit Manipulation,Problems,Subsets (Power Set),Medium,Striver,https://leetcode.com/problems/subsets/,
219,Bit Manipulation,Problems,Find MSB,Easy,Striver,https://www.geeksforgeeks.org/problems/find-msb-in-o1/1,
220,Bit Manipulation,Problems,Print Prime Factors using Sieve,Medium,Striver,https://www.geeksforgeeks.org/problems/prime-factorization-using-sieve/0,
221,Bit Manipulation,Problems,All Divisors of a Number,Easy,Striver,https://www.geeksforgeeks.org/problems/all-divisors-of-a-number/1,
222,Bit Manipulation,Problems,Minimum Bit Flips to Convert Number,Easy,Striver,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,
223,Bit Manipulation,Problems,Count Set Bits 1 to N,Medium,Striver,https://leetcode.com/problems/counting-bits/,
224,Bit Manipulation,Added,Reverse Bits,Easy,Added-Bit,https://leetcode.com/problems/reverse-bits/,Gap - NeetCode
225,Bit Manipulation,Added,Missing Number XOR,Easy,Added-Bit,https://leetcode.com/problems/missing-number/,Gap - NeetCode
226,Bit Manipulation,Added,Sum of Two Integers without + operator,Medium,Added-Bit,https://leetcode.com/problems/sum-of-two-integers/,Gap - NeetCode
227,Stack & Queue,Learning,Implement Stack using Array,Easy,Striver,https://leetcode.com/problems/implement-stack-using-queues/,
228,Stack & Queue,Learning,Implement Queue using Array,Easy,Striver,https://leetcode.com/problems/implement-queue-using-stacks/,
